PLAYER_NAME,TEAM,PLAY_TYPE,TYPE_GROUPING,PERCENTILE,GP,POSS_PCT,PPP,FG_PCT,FT_POSS_PCT,TOV_POSS_PCT,SF_POSS_PCT,PLUSONE_POSS_PCT,SCORE_POSS_PCT,EFG_PCT,POSS,PTS,FGM,FGA,FGMX
Herbert Jones,NOP,Cut,Offensive,0.26,66,0.129,1.188,0.636,0.2,0.106,0.188,0.082,0.6,0.636,1.3,1.5,0.6,1.0,0.4
Jakob Poeltl,SAS,Cut,Offensive,0.249,46,0.206,1.171,0.633,0.117,0.081,0.117,0.009,0.604,0.633,2.4,2.8,1.2,2.0,0.7
Isaiah Jackson,IND,Cut,Offensive,0.246,63,0.189,1.171,0.613,0.207,0.061,0.207,0.024,0.634,0.613,1.3,1.5,0.6,1.0,0.4
Isaiah Hartenstein,NYK,Cut,Offensive,0.237,82,0.255,1.167,0.626,0.111,0.093,0.093,0.046,0.574,0.626,1.3,1.5,0.7,1.1,0.4
Chris Boucher,TOR,Cut,Offensive,0.237,76,0.176,1.167,0.593,0.175,0.061,0.175,0.035,0.596,0.593,1.5,1.8,0.7,1.2,0.5
Scottie Barnes,TOR,Cut,Offensive,0.232,77,0.115,1.164,0.565,0.144,0.048,0.144,0.041,0.575,0.565,1.9,2.2,0.9,1.6,0.7
Ben Simmons,BKN,Cut,Offensive,0.229,42,0.245,1.161,0.608,0.08,0.034,0.08,0.023,0.575,0.608,2.1,2.4,1.1,1.9,0.7
Wenyen Gabriel,LAL,Cut,Offensive,0.224,68,0.246,1.155,0.582,0.214,0.048,0.214,0.06,0.583,0.582,1.2,1.4,0.6,1.0,0.4
Josh Giddey,OKC,Cut,Offensive,0.213,76,0.079,1.128,0.602,0.046,0.073,0.046,0.018,0.569,0.602,1.4,1.6,0.8,1.3,0.5
Alperen Sengun,HOU,Cut,Offensive,0.202,75,0.123,1.124,0.614,0.088,0.109,0.088,0.029,0.569,0.614,1.8,2.1,0.9,1.5,0.6
Zach Collins,SAS,Cut,Offensive,0.169,63,0.138,1.088,0.56,0.108,0.078,0.118,0.02,0.549,0.56,1.6,1.8,0.7,1.3,0.6
Bismack Biyombo,PHX,Cut,Offensive,0.146,61,0.282,1.062,0.588,0.173,0.037,0.173,0.049,0.543,0.588,1.3,1.4,0.7,1.1,0.5
