PLAYER_NAME,TEAM,PLAY_TYPE,TYPE_GROUPING,PERCENTILE,GP,POSS_PCT,PPP,FG_PCT,FT_POSS_PCT,TOV_POSS_PCT,SF_POSS_PCT,PLUSONE_POSS_PCT,SCORE_POSS_PCT,EFG_PCT,POSS,PTS,FGM,FGA,FGMX
Quentin Grimes,NYK,Handoff,Offensive,0.925,71,0.05,1.278,0.5,0.083,0.056,0.083,0.028,0.5,0.672,0.5,0.6,0.2,0.5,0.2
Shai Gilgeous-Alexander,OKC,Handoff,Offensive,0.9,68,0.02,1.243,0.571,0.189,0.081,0.135,0.027,0.595,0.589,0.5,0.7,0.2,0.4,0.2
Lauri Markkanen,UTA,Handoff,Offensive,0.886,66,0.047,1.224,0.529,0.179,0.119,0.179,0.06,0.522,0.618,1.0,1.2,0.4,0.8,0.4
Gary Trent Jr.,TOR,Handoff,Offensive,0.879,66,0.069,1.216,0.548,0.122,0.027,0.122,0.0,0.581,0.613,1.1,1.4,0.5,0.9,0.4
Kelly Olynyk,UTA,Handoff,Offensive,0.875,68,0.051,1.214,0.472,0.143,0.024,0.143,0.024,0.524,0.583,0.6,0.8,0.3,0.5,0.3
Stephen Curry,GSW,Handoff,Offensive,0.871,56,0.103,1.2,0.455,0.097,0.103,0.09,0.034,0.441,0.612,2.6,3.1,1.0,2.2,1.2
Kevin Durant,BKN,Handoff,Offensive,0.861,39,0.054,1.189,0.614,0.094,0.132,0.094,0.057,0.547,0.648,1.4,1.6,0.7,1.1,0.4
Davion Mitchell,SAC,Handoff,Offensive,0.857,80,0.08,1.184,0.5,0.053,0.079,0.053,0.026,0.474,0.618,0.5,0.6,0.2,0.4,0.2
Trey Murphy III,NOP,Handoff,Offensive,0.846,79,0.046,1.167,0.474,0.024,0.071,0.024,0.0,0.452,0.618,0.5,0.6,0.2,0.5,0.3
Kevin Huerter,SAC,Handoff,Offensive,0.839,75,0.237,1.154,0.471,0.046,0.083,0.038,0.004,0.442,0.629,3.2,3.7,1.3,2.8,1.5
